TIPE;KATA;SUKU KATA;DEFINISI;KELAS KATA;CONTOH BANJAR;CONTOH INDO
UTAMA;buntak;;pendek gemuk;;biar panjang tapi ganal, laluai pina buntak;meskipun panjang tetapi besar, lalu kelihatannya seperti pendek gemuk
UTAMA;buntal I;;sejenis ikan yang sangat berbisa;;;
UTAMA;buntal II;;;;;
TURUNAN DARI: buntal II;buntalan;;bungkusan;;;
UTAMA;buntang;;;;;
TURUNAN DARI: buntang;sabuntang;;selonjor (untuk sabun cuci);;sabunku gugur sabuntang;sabunku jatuh selonjor
UTAMA;buntat;;sejenis batu yang terdapat di dalam tubuh binatang atau tumbuhan;;;
UTAMA;buntau;;buncit (karena bengkak atau karena banyak mereguk air);;;
UTAMA;buntu;;buntu;;;
UTAMA;buntui;;(perut) penuh air;;rasa buntui parut kabanyakan manginum banyu;rasa penuh air (di) perut terlalu banyak minum air
UTAMA;buntus;;bocor;;;
UTAMA;buntut;;buntut, ekor;;;
UTAMA;bunuh;;bunuh;;;
UTAMA;bunyi;;bunyi, suara;;;
TURUNAN DARI: bunyi;bunyian;;alat yang berbunyi (misalnya harmonika dan sebagainya);;;
UTAMA;bupati;;bupati;;;
UTAMA;buragan;;;;;
TURUNAN DARI: buragan;baburagan;;penyakit yang disebabkan membengkaknya kelenjar misalnya kelenjar limpa dan sebagainya;;;
UTAMA;burak;;borak;;;
TURUNAN DARI: burak;burak-burak ;;nama burung;;;
UTAMA;buras;;lepat;;;
UTAMA;burdir;;(BH) border;;;
UTAMA;bureset;;;;;
TURUNAN DARI: bureset;pambureset;;penakut;;;
UTAMA;buringis;;;;;
TURUNAN DARI: buringis;buringisan;;peringis (untuk muka);;;
UTAMA;burinik;;gelembung udara (di air);;;
UTAMA;buris;;gembung (untuk perut);;buris parut batianan;gembung perut mengandung
UTAMA;burisah;;jangan-jangan;;burisah kada jadi;jangan-jangan tidak jadi
UTAMA;burisit;;(BH);;;
TURUNAN DARI: burisit;pamburisit;;Iih bureset;;;
UTAMA;burit;;pantat;;;
TURUNAN DARI: burit;buritan;;bagian belakang (perahu);;;
UTAMA;burkain;;kain-kain bekas;;;
UTAMA;buru;;halau;;;
TURUNAN DARI: buru;mamburu;;menghalau;;mamburu ayam;menghalau ayam
UTAMA;burui;;besar perut;;;
UTAMA;buruk;;busuk;;;
UTAMA;burung;;burung;;;
UTAMA;burungan;;ukuran luas 1/35 Ha atau 10 x 10 depa persegi;;;
UTAMA;burus;;lolos, tidak memperoleh sama sekali;;;
TURUNAN DARI: burus;saburusnya;;setidak-tidaknya, ada walaupun sedikit;;;
TURUNAN DARI: burus;kada burus;;tidak lolos sama sekali (walaupun sedikit);;;
UTAMA;burut;;pelir besar;;;
UTAMA;busak;;;;;
TURUNAN DARI: busak;tabusak-busak;;sulit bernafas, hampir lemas;;;
UTAMA;bustam;;ciri baik (pada manusia);;;
UTAMA;busu;;paman;;;
UTAMA;busur;;busur;;;
UTAMA;buta;;raksasa;;;
UTAMA;buting;;ukuran satuan benda kecil, kue dan sebagainya;;tukarakan wadai lima buting;belikan kue lima buah
