TIPE;KATA;SUKU KATA;DEFINISI;KELAS KATA;CONTOH BANJAR;CONTOH INDO
TURUNAN DARI: wakap;bawakap;;berwakaf;;;
TURUNAN DARI: wakap;mawakapakan;;mewakafkan;;;
TURUNAN DARI: wakap;mawakapi;;memberi wakaf;;;
UTAMA;wakar;;penjaga;;;
UTAMA;wakas;;;;;
TURUNAN DARI: wakas;pawakasan ;;(kali) terakhir;;pawakasan aku dapat sidin samalam;terakhir saya bertemu beliau kemarin
UTAMA;wakil;;wakil;;;
UTAMA;waktu;;waktu, ketika;n;;
TURUNAN DARI: waktu;bawaktu;;ada waktunya ;v;;
UTAMA;wal;;kawal;;;
UTAMA;walanda;;Belanda;n;;
UTAMA;walang;;batal;;;
TURUNAN DARI: walang;intalu walang;;telur yang tidak mau menetas;;;
UTAMA;walar;;mending;;;
TURUNAN DARI: walar;walaran;;mendingan;;;
UTAMA;walas;;belas;n;ada dua walas ikung anak ayam nang hanyar mamacah;ada dua belas ekor anak ayam yang barus menetas
TURUNAN DARI: walas;sawalas;;sebelas;nomer;;
UTAMA;walatih;;ulatih;;;
UTAMA;walatung;;rotan (besar);;;
UTAMA;walau;;walau, meskipun;;;
UTAMA;walhasil;;pendeknya;;;
UTAMA;wali;;wali, wakil;;;
UTAMA;walih;;(BH) pasti;;;
UTAMA;walik;;(ayam) berbulu keriting;;;
UTAMA;wallohualam;;wallahualam;;;
UTAMA;walu;;delapan;nomer;;
UTAMA;waluh;;labu;n;;
TURUNAN DARI: waluh;mawaluh;;menanam labu, jual beli labu;;;
UTAMA;walut;;belut;n;;
UTAMA;wan;;lawan;;;
UTAMA;wancuh;;centong nasi ;;;
UTAMA;wang;;uang;n;;
UTAMA;wangal;;bengal, bandel;;;
UTAMA;wangkang;;perahu besar dari cina;;;
UTAMA;wangsit;;(BK) cepat, segera;;;
UTAMA;wangsul;;keluar;;;
UTAMA;wani;;a berani;;inya wani naik pohon;ia berani naik pohon
TURUNAN DARI: wani;bawani;;"menjadi berani; bertambah berani";v;;
TURUNAN DARI: wani;bawani-wani ;;a berani-beraninya;;ikam bawani-wani mamutik buah di puhun ngitu kalu pina disariki kai;kamu berani-beraninya memetik buah di pohon itu khawatirnya dimarahi kakek
TURUNAN DARI: wani;pawanian;;"pemberani (orang yang sangat berani); a pemberani (bersifat berani) ";;;
TURUNAN DARI: wani;pawaninya;;a paling berani:;;inya tu pawaninya di antara kakawanannya; ia itu paling berani di antara temantemannya
UTAMA;wantar;;santer;;;
UTAMA;wantilan;;penggergajian;n;;
UTAMA;wantu;;mesra, homogin, bercampur dengan baik;;;
UTAMA;wanyi;;lebah madu;n;;
UTAMA;wapak;;azimat;;;
UTAMA;wapat;;wafat;;;
UTAMA;wara;;"saja; semata-mata";;sabuting buku wara  nang ada dalam  tasnya,;sebuah buku  saja yang ada dalam  tasnya
TURUNAN DARI: wara;bawara;;bersengaja;;;
UTAMA;warah;;olok;;;
TURUNAN DARI: warah;bawawarah;;berolok-olok, berseloroh;;;
TURUNAN DARI: warah;mawarahakan;;memperolok;;;
TURUNAN DARI: warah;wawarahan;;olok-olokan, selorohan;;;
UTAMA;warai;;Iih wirai;;;
UTAMA;warang;;besan;;;
TURUNAN DARI: warang;bawarang;;besanan;;;
UTAMA;warangan;;werangan, racun tikus;;;
UTAMA;waras;; sembuh;;waras  dah inya, kada garing  lagi,; sembuh sudah  dia, tidak sakit lagi  
TURUNAN DARI: waras;mawarasakan;;menyembuhkan;;;
TURUNAN DARI: waras;kada waras;;tidak sembuh, tidak beres, gila;;;
UTAMA;warga;;warga;;;
UTAMA;warih;;(BH) akhir;;;
TURUNAN DARI: warih;kawarihannya;;pada akhirnya;;;
UTAMA;warik;;" kera; monyet";;;
UTAMA;waringin;;beringin ;n;;
UTAMA;waris;;waris ;n;;
TURUNAN DARI: waris;mawarisi;;mewarisi:;v;inya mawarisi pahumaan ampun kainya;ia mewarisi sawah milik kakeknya
TURUNAN DARI: waris;mawarisakan;;mewariskan;;kai mawarisakan pahumaan sidin ka wadah abah;kakek mewariskan sawah beliau kepada ayah
TURUNAN DARI: waris;warisan;;warisan ;;;
UTAMA;warna;;warna;n;;
TURUNAN DARI: warna;bawarna;;berwarna:;v;bajunya bawarna kuning;bajunya berwarna kuning
TURUNAN DARI: warna;mawarnai;;mewarnai:;;ading lagi mawarnai gambar kambang,;adik sedang mewarnai gambar bunga
TURUNAN DARI: warna;warnaan;;pewarna;;;
UTAMA;warung;;warung;;;
TURUNAN DARI: warung;warung sakadup;;warung yang buka pada siang hari di bulan Ramadan;;;
TURUNAN DARI: warung;bawarung;;berwarung;;saban hari inya bawarung;setiap hari ia berwarung
UTAMA;wasangka;;wasangka;;;
UTAMA;wasi;;besi;n;;
UTAMA;wasiat;;wasiat;n;;
TURUNAN DARI: wasiat;bawasiat;;berwasiat;;inya bawasiat supaya rumahnya jangan dijual;Ia berwasiat agar rumahnya jangan dijual
UTAMA;wasil;;berbekas, mempan, diturut;;apa ja papadah kada wasil;apa saja nasihat tidak berbekas
UTAMA;wastu;;(BH) hanya;;;
UTAMA;watas;;batas ;n;;
TURUNAN DARI: watas;bawatas;;berbatas;v;;
TURUNAN DARI: watas;mawatasi;;membatasi;v;;
UTAMA;watun;;watun;n;;
TURUNAN DARI: watun;bawatun ;;berwatun ;v;;
UTAMA;wawa;;sejenis kera tanpa ekor;;;
UTAMA;wawah;;robek (besar);;;
UTAMA;wawan;;hilang, sirna;;;
UTAMA;wawar;;;;;
TURUNAN DARI: wawar;mawawar;;mengambil suatu perwatasan secara tidak syah;;;
TURUNAN DARI: wawar;wawaran;;rampasan, (hasil mengambil secara tidak syah);;;
UTAMA;wawarah;;olok-olok;;;
UTAMA;wayah;;"zaman; waktu; ketika; musim ";n;;
UTAMA;wayahini;;sekarang ;n;;
UTAMA;wayang;;wayang;n;;
TURUNAN DARI: wayang;bawayang;;bermain ;v;wayang rami urang bawayang malam tadi; ramai orang bermain wayang tadi malam
UTAMA;wayu;;busuk (untuk ikan);;;
UTAMA;wesi;;(BK) besi;;;
UTAMA;widai;;"bidai; kerai";n;;
UTAMA;widara;;sejenis tanaman yang pahit;;;
UTAMA;wigas;;sehat ;n;lawas aku kada tadapat abah ikam, wigas ja kah sidin?;lama aku tidak bertemu ayahmu, sehat sajakah beliau?
UTAMA;wihang;;rahang;;;
TURUNAN DARI: wihang;basangga wihang;;bertopang dagu;;;
UTAMA;wilang;;hitung;;;
TURUNAN DARI: wilang;kawilang;;berbilang, demi;;tahun kawilang tahun;tahun berbilang tahun
TURUNAN DARI: wilang;wilangan;;hitungan;;;
UTAMA;wilanja;;belanja ;n;;
TURUNAN DARI: wilanja;bawilanja;;berbelanja;v;inya bawilanja, di warung; ia berbelanja di warung
UTAMA;wilayah;;wilayah;n;;
UTAMA;wisa;;bisa;n;;
TURUNAN DARI: wisa;bawisa;;berbisa;v;hati-hati, ular ngitu bawisa;hati-hati, ular itu berbisa
UTAMA;wisil;;(BH) wesel;;;
TURUNAN DARI: wisil;salah wisil;;salah kira;;;
UTAMA;wiwir;;urai;;;
TURUNAN DARI: wiwir;mawiwir;;menarik kain sambil menguraikannya;;;
UTAMA;ya;;ya (nama huruf ke 29 abjad Arab) ;;;
UTAMA;yahudi;;yahudi;;;
UTAMA;yaitu;;begitulah;pronon;yaitu  matan tadi inya  kuciak-kuciak ja kada  mau baranai,;begitulah dari tadi ia  teriak-teriak saja  tidak mau diam
UTAMA;yakin;;a  yakin:;;aku yakin  inya kada salah;aku  yakin ia tidak  bersalah  
TURUNAN DARI: yakin;bakayakinan;;berkeyakinan ;;;
TURUNAN DARI: yakin;mayakinakan ;;meyakinkan;;;
UTAMA;yaksa;;raksasa;;;
UTAMA;yakut;;sejenis permata;;;
UTAMA;yasin;;(surah) yasin;;;
UTAMA;yat;;lihat;;yat, kawanya inya maangkat kotak nang barat ngitu;lihat, mampu dia mengangkat kotak besar itu  
UTAMA;yatim;; a  yatim;;inya anak  yatim;ia anak yatim
UTAMA;yato;;itulah, demikianlah;;;
UTAMA;yu;;kp  ayu;;yu kita  tulakan,;ayo kita  berangkat
UTAMA;yuk;yu.k;mari;;;
